Browse	Procházet
Expand	Rozbalit
Collapse	Sbalit
Check	Zaškrtnout
Uncheck	Zrušit zaškrtnutí
Vertical scroll bar	Svislý posuvník
Horizontal scroll bar	Vodorovný posuvník
Please press enter to go into child control for more operations	Stisknutím klávesy Enter přejdete na ovládací prvek nabízející více operací
Column %COLUMNNUMBER	Sloupec %COLUMNNUMBER
Row %ROWNUMBER	Řádek %ROWNUMBER
Add	Přidat
Apply	Použít
Cancel	Zrušit
Close	Zavřít
Delete	Smazat
Edit	Upravit
Help	Nápověda
New	Nový
No	Ne
OK	OK
Remove	Odstranit
Reset	Obnovit
Yes	Ano
Open	Otevřít
Play	Přehrát
Pause	Pozastavit
Stop	Zastavit
Repeat	Opakovat
Mute	Ztlumit
50%	50 %
100%	100 %
200%	200 %
Scaled	Zvětšeno
Volume	Hlasitost
Position	Pozice
Media Player	Přehrávač médií
Media Path	Cesta k multimédiu
No Media Selected	Nebylo vybráno žádné multimédium
Insert Audio or Video	Vložit zvuk nebo video
Open Audio or Video	Otevřít zvuk nebo video
All audio and video files	Všechny zvukové nebo video soubory
All files	Všechny soubory
The format of the selected file is not supported.	Formát vybraného souboru není podporován.
View	Zobrazit
<All>	<Vše>
< No Module >	< Žádný modul >
Incorrect Password	Neplatné heslo
The file does not contain any BASIC libraries	Soubor neobsahuje žádné knihovny BASIC
Invalid Name	Neplatný název
A library name can have up to 30 characters.	Název knihovny může obsahovat maximálně 30 znaků.
Macros from other documents are not accessible.	Makra z jiných dokumentů nejsou dostupná.
This library is read-only.	Tato knihovna je jen pro čtení.
'XX' cannot be replaced.	Nelze nahradit 'XX'.
'XX' cannot be added.	Nelze přidat 'XX'.
'XX' was not added.	'XX' nebylo přidáno.
Enter password for 'XX'	Zadejte heslo pro 'XX'
Name already exists	Název již existuje
(Signed)	(Podepsaný)
Object with same name already exists	Objekt s takovým názvem již existuje
Search key not found	Hledané klíčové slovo nenalezeno
Search to last module complete. Continue at first module?	Hledání dokončeno až k poslednímu modulu. Pokračovat od prvního modulu?
Search key replaced XX times	Hledané klíčové slovo bylo XXkrát nahrazeno
The file could not be read	Soubor nelze přečíst
The file could not be saved	Soubor nelze uložit
The name of the default library cannot be changed.	Název výchozí knihovny nelze změnit.
Generating source	Generuje se zdroj
File name:	Název souboru:
Import Libraries	Importovat knihovny
Do you want to delete the macro XX?	Přejete si smazat makro XX?
Do you want to delete the XX dialog?	Přejete si smazat dialogové okno XX?
Do you want to delete the XX library?	Přejete si smazat knihovnu XX?
Do you want to delete the reference to the XX library?	Přejete si smazat odkaz na knihovnu XX?
Do you want to delete the XX module?	Přejete si smazat modul XX?
BASIC	BASIC
Ln	Řádek
Col	Sloupec
The window cannot be closed while BASIC is running.	Okno nelze zavřít, dokud běží kód BASIC.
The default library cannot be replaced.	Výchozí knihovnu nelze nahradit.
Reference to 'XX' not possible.	Odkaz na 'XX' není k dispozici.
Watch	Kukátko
Call Stack	Zásobník volání
Dialog	Dialogové okno
New Library	Nová knihovna
New Module	Nový modul
New Dialog	Nové dialogové okno
All	Vše
Page	Stránka
Do you want to replace the text in all active modules?	Přejete si nahradit text ve všech aktivních modulech?
Watch:	Kukátko:
Calls: 	Volání: 
My Macros	Moje makra
My Dialogs	Moje dialogová okna
My Macros & Dialogs	Moje makra a dialogová okna
%PRODUCTNAME Macros	Makra %PRODUCTNAME
%PRODUCTNAME Dialogs	Dialogová okna %PRODUCTNAME
%PRODUCTNAME Macros & Dialogs	Makra a dialogová okna %PRODUCTNAME
Remove Watch	Odstranit kukátko
Do you want to overwrite the XX macro?	Přejete si nahradit makro XX?
<Not localized>	<Nelokalizováno>
[Default Language]	[Výchozí jazyk]
Document Objects	Objekty dokumentu
Forms	Formuláře
Modules	Moduly
Class Modules	Moduly tříd
Rename	Přejmenovat
Replace	Nahradit
Dialog Import - Name already used	Import dialogového okna - název je již použit
Omit	Vynechat
Dialog Import - Language Mismatch	Import dialogového okna - nekompatibilní jazyky
Pages:	Stránky:
All Pages	Všechny stránky
Pages:	Stránky
Even pages	Sudé stránky
Odd pages	Liché stránky
Choose	Vybrat
Run	Spustit
Save	Uložit
Object Catalog	Katalog objektů
Properties: 	Vlastnosti: 
No Control marked	Není označeno žádné ovládací pole
Multiselection	Vícenásobný výběr
<Press 'Add' to create language resources>	<Stisknutím 'Přidat' vytvoříte jazykové zdroje>
Export library as extension	Exportovat knihovnu jako rozšíření
Export as BASIC library	Exportovat jako knihovnu BASIC
Extension	Rozšíření
Basic Macros	Makra v Basicu
Runs or saves the current macro.	Spustí nebo uloží aktuální makro.
Lists the macros that are contained in the module selected in the Macro from list.	Seznam maker, která jsou obsažena v modulu vybraném v seznamu Makro z.
Existing Macros In:	Existující makra v:
Macro From	Makro z
Save Macro In	Uložit makro do
Macro Name	Název makra
Assign...	Přiřadit...
Starts the %PRODUCTNAME Basic editor and opens the selected macro or dialog for editing.	Spustí editor %PRODUCTNAME Basic a otevře makro nebo dialog pro úpravy.
Delete	Vymazat
Creates a new macro, creates a new module or deletes the selected macro or selected module.	Vytvoří nové makro či modul nebo smaže vybrané makro či modul.
Creates a new library.	Vytvoří novou knihovnu.
Organizer...	Organizátor...
Saves the recorded macro in a new library.	Uloží zaznamenané makro do nové knihovny.
Saves the recorded macro in a new module.	Uloží zaznamenané makro do nového modulu.
Opens a dialog to organize macros.	Otevře dialog pro správu maker.
Manage Breakpoints...	Spravovat body přerušení...
Specifies the options for breakpoints.	Určuje vlastnosti bodů přerušení.
Active	Aktivní
Activates or deactivates the current breakpoint.	Aktivuje nebo deaktivuje současný bod přerušení.
Properties...	Vlastnosti...
Set Default User Interface Language	Nastavit výchozí jazyk uživatelského rozhraní
Default language:	Výchozí jazyk:
Available languages:	Dostupné jazyky:
Add User Interface Languages	Přidat jazyky uživatelského rozhraní
Delete Language Resources	Smazat jazykové zdroje
Do you want to delete the resources of the selected language(s)?	Opravdu si přejete smazat zdroje vybraných jazyků?
Dialog:	Dialogové okno:
Deletes the selected element or elements after confirmation.	Po potvrzení odstraní vybraný prvek nebo prvky.
Opens the %PRODUCTNAME Basic editor so that you can modify the selected library.	Otevře editor jazyka %PRODUCTNAME Basic, kde je možné vybranou knihovnu upravit.
New...	Nové...
Opens the editor and creates a new module.	Otevře editor a vytvoří nový modul.
New...	Nové…
Deletes the selected element or elements without requiring confirmation.	Bez nutnosti potvrzení odstraní vybraný prvek nebo prvky.
Password...	Heslo...
Assigns or edits the password for the selected library.	Přiřadí nebo upraví heslo vybrané knihovny.
Import...	Importovat…
Export...	Exportovat...
Lists the existing modules or dialogs.	Seznam existujících modulů nebo dialogových oken.
Variable	Proměnná
Value	Hodnota
Type	Typ
Export Basic library	Exportovat knihovnu BASIC
Export as extension	Exportovat jako rozšíření
Go to Line	Přejít na řádek
Line number:	Řádek číslo:
Insert as reference (read-only)	Vložit jako odkaz (jen pro čtení)
Replace existing libraries	Nahradit stávající knihovny
Replaces a library that has the same name with the current library.	Nahradí knihovnu, která má stejný název jako aktuální knihovna.
Options	Možnosti
Location:	Umístění:
Select the application or the document containing the macro libraries that you want to organize.	Vyberte aplikaci nebo dokument obsahující knihovny, které chcete spravovat.
Library:	Knihovna:
New...	Nová...
Import...	Importovat...
Manage Breakpoints	Spravovat body přerušení
Creates a breakpoint on the line number specified.	Vytvoří bod přerušení na určeném řádku.
Deletes the selected breakpoint.	Smaže vybraný bod přerušení.
Enter the line number for a new breakpoint, then click New.	Zadejte číslo řádku pro nový bod přerušení a klepněte na Nový.
Specify the number of loops to perform before the breakpoint takes effect.	Určuje počet smyček, které proběhnou, než bod přerušení zapůsobí.
Pass count:	Počet průběhů:
Breakpoints	Body přerušení
Manage User Interface Languages [$1]	Spravovat jazyky uživatelského rozhraní [$1]
Present languages:	Dostupné jazyky:
Add...	Přidat...
Default	Výchozí
Module:	Modul:
Lists the existing macro libraries for the current application and any open documents.	Seznam existujících knihoven maker pro aktuální aplikaci a otevřené dokumenty.
New...	Nový...
Lets you manage the macro libraries.	Umožňuje správu knihoven maker.
Creates a new macro, or deletes the selected macro.	Vytvoří nové makro nebo smaže vybrané makro.
Name:	Název:
Enter a name for the new library or module.	Zadejte název nové knihovny nebo modulu.
Basic Macro Organizer	Organizátor maker Basicu
Dialogs	Dialogová okna
Libraries	Knihovny
Sorting	Řazení
Alphabetically	Abecedně
Proper order	Pořadí v dokumentu
Syntax error.	Syntaktická chyba.
Return without Gosub.	Return bez Gosub.
Incorrect entry; please retry.	Neplatný vstup; opakujte zadání.
Invalid procedure call.	Neplatné volání procedury.
Overflow.	Přetečení.
Not enough memory.	Nedostatek paměti.
Array already dimensioned.	Velikost pole již byla určena.
Index out of defined range.	Index mimo definovaný rozsah.
Duplicate definition.	Dvojí definice.
Division by zero.	Dělení nulou.
Variable not defined.	Nedefinovaná proměnná.
Data type mismatch.	Datové typy nesouhlasí.
Invalid parameter.	Neplatný parametr.
Process interrupted by user.	Proces přerušen uživatelem.
Resume without error.	Pokračovat bez chyb.
Not enough stack memory.	Nedostatek paměti v zásobníku.
Sub-procedure or function procedure not defined.	Podprocedura nebo funkční procedura není definována.
Error loading DLL file.	Chyba při načítání souboru DLL.
Wrong DLL call convention.	Chybné volání DLL.
Internal error $(ARG1).	Interní chyba $(ARG1).
Invalid file name or file number.	Neplatný název nebo číslo souboru.
File not found.	Soubor nenalezen.
Incorrect file mode.	Nesprávný režim souboru.
File already open.	Soubor je již otevřen.
Device I/O error.	Vstupně-výstupní chyba zařízení.
File already exists.	Soubor již existuje.
Incorrect record length.	Nesprávná délka záznamu.
Disk or hard drive full.	Disk je plný.
Reading exceeds EOF.	Čtení překročilo konec souboru (EOF).
Incorrect record number.	Nesprávné číslo záznamu.
Too many files.	Příliš mnoho souborů.
Device not available.	Zařízení není dostupné.
Access denied.	Přístup odmítnut.
Disk not ready.	Disk není připraven.
Not implemented.	Neimplementováno.
Renaming on different drives impossible.	Nelze přejmenovat na různých discích.
Path/File access error.	Při přístupu k souboru došlo k chybě.
Path not found.	Cesta nenalezena.
Object variable not set.	Proměnná objektu není nastavena.
Invalid string pattern.	Neplatný vzorek řetězce.
Use of zero not permitted.	Použití nuly nedovoleno.
DDE Error.	Chyba DDE.
Awaiting response to DDE connection.	Čeká se odezva na připojení DDE.
No DDE channels available.	Nedostupné kanály DDE.
No application responded to DDE connect initiation.	Na zahájení připojení DDE neodpověděla žádná aplikace.
Too many applications responded to DDE connect initiation.	Na zahájení připojení DDE odpovědělo příliš mnoho aplikací.
DDE channel locked.	Kanál DDE je uzamčen.
External application cannot execute DDE operation.	Externí aplikace nemůže provést operaci DDE.
Timeout while waiting for DDE response.	Vypršel časový limit při čekání na odezvu DDE.
User pressed ESCAPE during DDE operation.	Uživatel stiskl ESCAPE během operace DDE.
External application busy.	Externí aplikace zaneprázdněna.
DDE operation without data.	Operace DDE bez dat.
Data are in wrong format.	Data jsou ve špatném formátu.
External application has been terminated.	Externí aplikace byla ukončena.
DDE connection interrupted or modified.	Připojení DDE přerušeno nebo změněno.
DDE method invoked with no channel open.	Byla zavolána metoda DDE bez otevřeného kanálu.
Invalid DDE link format.	Neplatný formát odkazu DDE.
